Unit,Tenant,Suite Type,SF,Lease Start,Lease Expiration,Base Rent Annual,Base Rent PSF,Monthly Rent,Escalation,Lease Status,Notes
101,Ridgewood Capital Partners,Office,4820,2022-03-01,2027-02-28,168700,35.00,14058.33,3% Annual,Current,Anchor tenant floors 1-2
102,Arbor & Vance LLP,Office,3200,2021-06-15,2026-06-30,108800,34.00,9066.67,Fixed,Current,Renewal in negotiation
201,Hearth Digital Studios,Creative,6100,2023-09-01,2028-08-31,207400,34.00,17283.33,CPI Capped 4%,Current,Expansion clause exercised Q1 2026
202,Vacant,Office,2450,,,,,,,Vacant,Marketed since Feb 2026 at $36 PSF
301,Kestrel Advisory Group,Office,5340,2020-11-01,2025-10-31,181560,34.00,15130.00,3% Annual,Holdover,Month-to-month at 125% base, negotiating
302,North Palisade Trust,Office,3980,2024-01-15,2029-01-14,143280,36.00,11940.00,3% Annual,Current,New tenant, 3 months free abatement
401,Ram and Wolf Wellness Group,Retail,2800,2023-05-01,2033-04-30,140000,50.00,11666.67,3% Annual,Current,Ground floor retail, 10yr lease
402,Cascade Legal Services,Office,4150,2022-08-01,2027-07-31,141100,34.00,11758.33,Fixed,Current,
501,Vacant,Office,3900,,,,,,,Vacant,Prior tenant vacated Jan 2026
502,Verano Holdings,Office,2680,2023-12-01,2028-11-30,91120,34.00,7593.33,3% Annual,Current,
601,Fjord Analytics,Office,7200,2021-01-01,2026-12-31,244800,34.00,20400.00,Fixed,Current,Renewal offer pending
