Line Item,Category,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,T12 Total,Underwriting T12,Variance
Base Rental Income,Revenue,146500,146500,146500,146500,146500,146500,147200,147200,142100,142100,142100,142100,1737400,1755000,-17600
CAM Recoveries,Revenue,18400,18400,18400,18400,18400,18400,18700,18700,17900,17900,17900,17900,219400,222000,-2600
Parking Income,Revenue,8250,8100,8200,8300,7900,7600,7700,7900,8100,8300,8400,8500,97250,95000,2250
Late Fees & Other,Revenue,420,180,650,220,780,340,290,410,155,880,220,340,4885,3500,1385
Vacancy Loss,Revenue,-6800,-6800,-6800,-6800,-6800,-14200,-14200,-19800,-19800,-19800,-19800,-19800,-171400,-140000,-31400
Total Effective Gross Income,Revenue,166770,166380,166950,166620,166780,158640,159690,154410,148455,149380,148820,149040,1887535,1935500,-47965
Property Management Fee,OpEx,5000,4991,5008,4998,5003,4759,4791,4632,4454,4481,4465,4471,56653,58065,-1412
Real Estate Taxes,OpEx,14500,14500,14500,14500,14500,14500,15150,15150,15150,15150,15150,15150,177900,178000,-100
Property Insurance,OpEx,3200,3200,3200,3200,3200,3450,3450,3450,3450,3450,3450,3450,39150,38000,1150
Utilities,OpEx,8400,8100,7900,8600,9200,10100,9800,8900,7800,7200,7400,8100,101500,98000,3500
Janitorial,OpEx,4800,4800,4800,4800,4800,4900,4900,4900,4900,4900,4900,4900,58300,57600,700
Repairs & Maintenance,OpEx,3200,4100,2800,5200,3400,4800,3900,6200,4100,3300,2900,3800,47700,42000,5700
Landscaping,OpEx,1200,1200,1200,900,600,600,600,900,1200,1500,1500,1500,12900,13200,-300
Security,OpEx,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,28800,28800,0
Marketing,OpEx,800,800,800,800,800,1500,1500,2200,2200,1800,1200,800,15200,10000,5200
Administrative & Other,OpEx,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200,13900,13500,400
Total Operating Expenses,OpEx,44600,45191,43708,46498,45003,48209,47691,49932,46854,45381,44465,45771,552003,537165,14838
Net Operating Income,NOI,122170,121189,123242,120122,121777,110431,111999,104478,101601,104000,104355,103269,1335532,1398335,-62803
Capital Expenditures,CapEx,0,0,12500,0,0,0,0,45000,0,0,0,8500,66000,50000,16000
Tenant Improvements,CapEx,0,0,0,0,0,0,25000,25000,0,0,0,0,50000,60000,-10000
Leasing Commissions,CapEx,0,0,0,0,0,0,0,18500,0,0,0,0,18500,25000,-6500
Cash Flow After CapEx,CashFlow,122170,121189,110742,120122,121777,110431,86999,15978,101601,104000,104355,94769,1201032,1263335,-62303
