Unit,Tenant,Suite Type,SF,Lease Start,Lease Expiration,Base Rent Annual,Base Rent PSF,Monthly Rent,Escalation,Lease Status,Notes
101,Ridgewood Capital Partners,Office,4820,2022-03-01,2027-02-28,163786,33.98,13648.83,3% Annual,Current,Anchor tenant floors 1-2
102,Arbor & Vance LLP,Office,3200,2021-06-15,2026-06-30,108800,34.00,9066.67,Fixed,Current,
201,Hearth Digital Studios,Creative,4800,2023-09-01,2028-08-31,163200,34.00,13600.00,CPI Capped 4%,Current,Original footprint pre-expansion
202,Willow Bend Consulting,Office,2450,2021-04-01,2026-03-31,83300,34.00,6941.67,Fixed,Notice Given,Vacating end of March 2026
301,Kestrel Advisory Group,Office,5340,2020-11-01,2025-10-31,181560,34.00,15130.00,3% Annual,Current,Lease expiring, renewal terms sent
302,Vacant,Office,3980,,,,,,,Vacant,Marketing at $34 PSF
401,Ram and Wolf Wellness Group,Retail,2800,2023-05-01,2033-04-30,140000,50.00,11666.67,3% Annual,Current,
402,Cascade Legal Services,Office,4150,2022-08-01,2027-07-31,141100,34.00,11758.33,Fixed,Current,
501,Alderwood Partners,Office,3900,2020-02-01,2026-01-31,132600,34.00,11050.00,Fixed,Notice Given,Vacating end of January 2026
502,Verano Holdings,Office,2680,2023-12-01,2028-11-30,91120,34.00,7593.33,3% Annual,Current,
601,Fjord Analytics,Office,7200,2021-01-01,2026-12-31,244800,34.00,20400.00,Fixed,Current,
